# Temperature(K)	Q_r	Flux_Integral	Flux_Error	k(T)_au	k(T)_cm_s
150.00	3.042942866648e-01	5.548030783670e-12	7.782e-16	9.116225684812e-12	1.994348728803e-03	
180.00	3.333376898525e-01	5.346404287479e-11	1.415e-14	8.019501619881e-11	1.754419363256e-02	
210.00	3.600458554902e-01	3.617685080845e-10	9.506e-14	5.023922683291e-10	1.099079176344e-01	
240.00	3.849052099404e-01	1.746439812274e-09	4.145e-13	2.268662214970e-09	4.963132507841e-01	
270.00	4.082536261835e-01	6.397613762578e-09	1.564e-12	7.835342238580e-09	1.714130976297e+00	
300.00	4.303371080754e-01	1.888258060835e-08	4.709e-12	2.193928928509e-08	4.799639149946e+00	
330.00	4.513413716120e-01	4.707182321478e-08	1.204e-11	5.214658590531e-08	1.140806304137e+01	
360.00	4.714107099544e-01	1.027346477734e-07	2.711e-11	1.089651185304e-07	2.383820378506e+01	
390.00	4.906598992923e-01	2.016718102360e-07	5.516e-11	2.055107932469e-07	4.495941669700e+01	
420.00	5.091820588561e-01	3.634090574789e-07	1.034e-10	3.568557170841e-07	7.806901346448e+01	
450.00	5.270540405141e-01	6.105643999270e-07	1.812e-10	5.792237161596e-07	1.267162663535e+02	
500.00	5.555663088249e-01	1.280571670966e-06	4.084e-10	1.152492196363e-06	2.521297109397e+02	
650.00	6.335022440636e-01	6.349142911940e-06	2.516e-09	5.011144768181e-06	1.096283763018e+03	
800.00	7.031321529991e-01	1.826260177280e-05	8.793e-09	1.298660692368e-05	2.841068651125e+03	
950.00	7.671951051449e-01	3.900213710059e-05	2.126e-08	2.541865611435e-05	5.560817191484e+03	
1100.00	8.276149500141e-01	6.960781700305e-05	4.609e-08	4.205326220960e-05	9.199955434350e+03	
1250.00	8.857980812149e-01	1.097683882626e-04	6.271e-08	6.196016371588e-05	1.355497088549e+04	
1500.00	9.804452660008e-01	2.000345043554e-04	1.095e-07	1.020120710926e-04	2.231709167151e+04	
